,long,lat,OBJECTID,Snow,Ice,ID_Map,HH,HV,VH,VV,VV/HH,HV/HH,VH/VV
0,516015.4127000009,6893807.386300002,3,12.0,,,-21.75919532775879,-30.623230934143066,-31.026315689086914,-19.885013103485107,1.2494328022003174,0.35716792941093445,0.2815304100513458
1,514990.187199999,6892460.911499999,76,19.0,,,-18.03562045097351,-30.978200435638428,-30.014057159423828,-15.979975461959839,1.263525128364563,0.22437824308872223,0.20238983631134033
2,515195.77610000037,6894758.450300001,105,9.0,83,D_14,-21.764061450958252,-30.955400466918945,-31.20656967163086,-22.514991760253906,0.9284545183181763,0.35433483123779297,0.3751539885997772
3,515146.23289999994,6894012.145799997,106,3.0,82,D_13,-19.64491844177246,-30.442676544189453,-30.5875301361084,-19.142225980758667,1.0587389469146729,0.29026731848716736,0.2691463232040405
4,512764.58180000004,6897273.816599999,107,7.0,84,D_27,-17.938497066497803,-31.536056995391846,-31.223299503326416,-17.706146240234375,1.021217942237854,0.21237631142139435,0.21809270977973938
5,512271.9946,6896300.087099999,108,8.0,85,D_24,-16.329747438430786,-30.54412841796875,-30.48367977142334,-16.341198682785034,1.002528190612793,0.19649364054203033,0.2009143829345703
6,512789.8273999998,6895624.445999999,109,5.0,90,D_30,-17.316235303878784,-30.527772903442383,-29.819226264953613,-16.79507851600647,1.0605814456939697,0.2199380248785019,0.2271146923303604
7,513460.9341000012,6896183.0825,110,7.0,90,D_25,-16.501516103744507,-28.162176609039307,-28.013086318969727,-16.014467477798462,1.0615562200546265,0.26523470878601074,0.25519508123397827
8,514591.94579999964,6895871.063200001,111,10.0,79,D_22,-15.69892406463623,-26.374568939208984,-27.7829909324646,-15.27453064918518,1.0596139430999756,0.29329967498779297,0.23979556560516357
9,514014.28760000016,6895300.8906,112,4.0,105,D_20,-15.186872482299805,-26.639647483825684,-27.648000717163086,-13.756871223449707,1.208478569984436,0.2754553258419037,0.20225833356380463
10,513758.78120000026,6894721.979499999,113,4.0,90,D_21,-14.707815647125244,-28.492650985717773,-29.070751667022705,-14.890470504760742,0.9842166304588318,0.20635272562503815,0.19741475582122803
11,515195.77610000037,6894758.450300001,114,20.0,71,D_14,-21.764061450958252,-30.955400466918945,-31.20656967163086,-22.514991760253906,0.9284545183181763,0.35433483123779297,0.3751539885997772
12,515146.23289999994,6894012.145799997,115,18.0,70,D_13,-19.64491844177246,-30.442676544189453,-30.5875301361084,-19.142225980758667,1.0587389469146729,0.29026731848716736,0.2691463232040405
13,515664.784,6893314.219700002,116,11.0,75,L_3,-17.373135089874268,-29.796130657196045,-29.96206045150757,-17.891520261764526,0.948628842830658,0.24610698223114014,0.2580369710922241
14,513275.1316999996,6890523.0887,117,7.0,88,D_15,-18.489516973495483,-30.122134685516357,-30.03775119781494,-18.972883224487305,0.9371005892753601,0.26297295093536377,0.28168147802352905
15,513822.74749999936,6891343.552099998,118,9.0,85,D_16,-20.175492763519287,-30.113093852996826,-29.602913856506348,-20.422368049621582,0.9632785320281982,0.3193001449108124,0.35230645537376404
16,514059.6670000003,6892491.999899998,119,4.0,89,D_17,-16.564693450927734,-29.978978633880615,-28.58927011489868,-15.696496963500977,1.1077609062194824,0.21444565057754517,0.22802047431468964
17,514669.59140000044,6893322.3352,120,5.0,92,D_18,-18.031702041625977,-30.011186599731445,-31.48463487625122,-17.946105003356934,1.0029425621032715,0.2518600523471832,0.2171059101819992
18,513563.0406999996,6893903.584800001,121,5.0,97,D_19,-17.43883967399597,-27.82240629196167,-28.905587196350098,-17.230998277664185,1.0290111303329468,0.3101194500923157,0.2717187702655792
19,511985.1633000003,6894734.5945000015,122,6.0,86,D_23,-16.133142709732056,-29.797732830047607,-28.90300750732422,-15.502469539642334,1.085758090019226,0.2102879285812378,0.21582084894180298
20,510861.87120000017,6895615.009500001,123,6.0,88,D_26,-14.920002222061157,-28.829116821289062,-28.70471954345703,-13.578741550445557,1.1698195934295654,0.20238611102104187,0.1767427772283554
22,511621.5990000013,6897367.493999999,125,8.0,81,D_28,-16.893880367279053,-30.76193332672119,-31.062421798706055,-17.37577199935913,0.9488666653633118,0.20737558603286743,0.21399730443954468
23,516597.77849999967,6892695.477800001,126,9.0,74,253,-20.749237537384033,-30.351157188415527,-30.698680877685547,-20.704007148742676,1.0069150924682617,0.33254414796829224,0.317628413438797
24,518190.6286000007,6890617.2826000005,127,20.0,76,254,-22.248551845550537,-31.12874746322632,-30.6689453125,-22.087745666503906,1.046870470046997,0.3718721866607666,0.3747096657752991
25,519744.8718999999,6888402.1307,128,9.0,86,D_1,-16.61220669746399,-27.85475730895996,-28.51850986480713,-16.37011170387268,1.0287386178970337,0.28039923310279846,0.2554616928100586
26,519432.0939000006,6889250.453600001,129,21.0,69,D_4,-18.335622549057007,-30.455341339111328,-29.403884410858154,-18.101696968078613,1.037895917892456,0.2527487277984619,0.2796419858932495
27,518497.3934000006,6888434.846500002,130,4.0,86,D_2,-16.299816370010376,-29.562060832977295,-28.71635913848877,-16.988507509231567,0.9336827993392944,0.22148364782333374,0.2634425163269043
28,517622.11110000033,6889134.918900002,131,4.0,85,D_5,-14.533756971359253,-28.5841965675354,-29.53827142715454,-15.36279559135437,0.9092950224876404,0.19734683632850647,0.19518107175827026
29,517546.4626999992,6890125.362799997,132,5.0,80,D_6,-16.043858528137207,-29.297420978546143,-30.217740535736084,-16.52494788169861,0.9482768177986145,0.21553702652454376,0.2067217379808426
30,516632.0184000004,6890248.518800002,133,5.0,80,D_8,-17.685015201568604,-30.02317190170288,-28.85925531387329,-17.254432439804077,1.0753347873687744,0.25225111842155457,0.26853495836257935
31,516588.0451999995,6891113.697600001,134,5.0,79,D_9,-17.13475465774536,-29.72926139831543,-30.1279616355896,-16.567165851593018,1.0680763721466064,0.2472739964723587,0.22552603483200073
32,517577.84360000025,6891057.542800002,135,19.0,61,D_7,-21.60719394683838,-30.166313648223877,-29.638333320617676,-20.135743618011475,1.1964815855026245,0.3733910024166107,0.33998164534568787
33,515386.7638000001,6891828.3554,136,4.0,81,D_12,-16.69949769973755,-29.0490460395813,-31.084885597229004,-17.26250171661377,0.9691498279571533,0.24818849563598633,0.20568425953388214
# Image values are a mean over a 5x5 box
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/RS2_subAOIs/DeceptionBay/RS2_20180201/RS2_20180201_sub_cal_spk_rat2_TC2.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1801_D_thicknesses_notransect_WGS84.shp
